Tenure,WarehouseToHome,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn,Churn_Label,Tenure_Group
18,26,3,"Laptop & Accessory",3,Single,9,0,1.0,148.5,0,Retained,">12 Months (Low Risk)"
16,17,3,Fashion,3,Married,2,0,9.0,175.1,0,Retained,">12 Months (Low Risk)"
7,6,4,Fashion,5,Married,10,0,6.0,204.82,1,Churned,"4-12 Months (Medium Risk)"
1,17,5,Fashion,5,Married,11,0,,228.06,1,Churned,"0-3 Months (High Risk)"
12,6,1,Fashion,1,Married,1,0,7.0,196.13,0,Retained,"4-12 Months (Medium Risk)"
30,11,4,Fashion,4,Married,3,1,4.0,205.52,0,Retained,">12 Months (Low Risk)"
11,17,2,Fashion,1,Married,3,1,9.0,262.44,0,Retained,"4-12 Months (Medium Risk)"
24,31,4,Grocery,3,Married,5,1,6.0,264.73,0,Retained,">12 Months (Low Risk)"
0,9,3,"Laptop & Accessory",5,Divorced,2,1,3.0,141.94,0,Retained,"0-3 Months (High Risk)"
1,7,4,"Mobile Phone",1,Married,11,1,3.0,172.87,1,Churned,"0-3 Months (High Risk)"
4,18,3,"Mobile Phone",1,Married,9,1,2.0,139.29,0,Retained,"4-12 Months (Medium Risk)"
18,7,4,Fashion,3,Married,4,0,4.0,207.48000000000002,0,Retained,">12 Months (Low Risk)"
15,7,2,Fashion,5,Married,3,0,8.0,208.92,0,Retained,">12 Months (Low Risk)"
17,21,4,Grocery,5,Married,8,0,1.0,296.59,0,Retained,">12 Months (Low Risk)"
4,15,4,Fashion,3,Married,7,0,8.0,197.64,0,Retained,"4-12 Months (Medium Risk)"
5,9,4,"Mobile Phone",1,Married,2,1,3.0,151.95,0,Retained,"4-12 Months (Medium Risk)"
11,17,2,"Mobile Phone",1,Single,5,0,1.0,171.8,0,Retained,"4-12 Months (Medium Risk)"
24,6,4,Fashion,5,Single,4,0,8.0,174.84,0,Retained,">12 Months (Low Risk)"
0,6,3,"Laptop & Accessory",3,Divorced,2,0,7.0,152.96,0,Retained,"0-3 Months (High Risk)"
3,6,3,"Laptop & Accessory",1,Single,2,0,7.0,140.11,0,Retained,"0-3 Months (High Risk)"
61,28,4,Grocery,1,Married,6,1,1.0,303.75,0,Retained,">12 Months (Low Risk)"
16,9,4,Fashion,1,Married,4,1,,226.24,0,Retained,">12 Months (Low Risk)"
25,10,3,Grocery,2,Divorced,3,0,4.0,265.55,0,Retained,">12 Months (Low Risk)"
9,22,4,"Laptop & Accessory",5,Married,5,0,2.0,156.47,0,Retained,"4-12 Months (Medium Risk)"
8,8,4,"Laptop & Accessory",1,Married,11,0,2.0,179.84,0,Retained,"4-12 Months (Medium Risk)"
8,33,5,"Mobile Phone",3,Married,3,0,1.0,145.29,0,Retained,"4-12 Months (Medium Risk)"
17,19,5,Grocery,4,Married,3,0,10.0,268.36,0,Retained,">12 Months (Low Risk)"
8,26,5,"Mobile Phone",1,Married,3,0,8.0,154.29,0,Retained,"4-12 Months (Medium Risk)"
0,8,3,"Laptop & Accessory",3,Single,2,1,4.0,144.78,0,Retained,"0-3 Months (High Risk)"
4,32,3,Mobile,3,Married,2,0,3.0,129.11,0,Retained,"4-12 Months (Medium Risk)"
1,10,4,"Mobile Phone",5,Married,7,0,3.0,165.31,1,Churned,"0-3 Months (High Risk)"
1,16,4,"Mobile Phone",1,Single,3,0,1.0,135.81,1,Churned,"0-3 Months (High Risk)"
1,31,6,"Mobile Phone",1,Single,3,1,1.0,148.4,1,Churned,"0-3 Months (High Risk)"
0,16,3,"Laptop & Accessory",2,Single,1,0,1.0,149.5,0,Retained,"0-3 Months (High Risk)"
1,16,3,"Laptop & Accessory",3,Single,4,0,7.0,136.6,0,Retained,"0-3 Months (High Risk)"
13,21,4,Fashion,3,Married,2,0,12.0,204.35,0,Retained,">12 Months (Low Risk)"
5,12,4,"Laptop & Accessory",3,Married,3,0,3.0,208.46,0,Retained,"4-12 Months (Medium Risk)"
1,11,4,"Mobile Phone",5,Single,3,0,1.0,154.73,1,Churned,"0-3 Months (High Risk)"
15,13,4,Fashion,3,Single,3,0,,217.41,0,Retained,">12 Months (Low Risk)"
24,14,4,Fashion,4,Divorced,6,0,,224.89999999999998,0,Retained,">12 Months (Low Risk)"
8,16,5,Fashion,4,Single,3,0,,211.21,0,Retained,"4-12 Months (Medium Risk)"
14,14,3,"Laptop & Accessory",4,Married,6,0,4.0,143.93,0,Retained,">12 Months (Low Risk)"
5,15,5,"Laptop & Accessory",1,Married,1,0,7.0,146.68,0,Retained,"4-12 Months (Medium Risk)"
9,11,4,"Laptop & Accessory",3,Single,3,1,2.0,167.49,0,Retained,"4-12 Months (Medium Risk)"
1,31,4,"Mobile Phone",2,Divorced,2,0,2.0,149,0,Retained,"0-3 Months (High Risk)"
0,6,3,"Laptop & Accessory",4,Divorced,1,1,4.0,163.49,0,Retained,"0-3 Months (High Risk)"
7,8,3,"Laptop & Accessory",5,Single,1,1,2.0,145.38,0,Retained,"4-12 Months (Medium Risk)"
6,12,4,"Laptop & Accessory",4,Married,3,0,4.0,190.24,0,Retained,"4-12 Months (Medium Risk)"
1,10,4,"Mobile Phone",1,Single,3,1,1.0,140.69,1,Churned,"0-3 Months (High Risk)"
9,18,4,Fashion,2,Single,1,0,8.0,188.58,0,Retained,"4-12 Months (Medium Risk)"
8,11,4,Fashion,1,Married,4,1,,222.13,0,Retained,"4-12 Months (Medium Risk)"
11,22,3,"Laptop & Accessory",4,Single,3,0,2.0,141.98,0,Retained,"4-12 Months (Medium Risk)"
4,10,4,"Mobile Phone",1,Married,6,0,5.0,145.97,0,Retained,"4-12 Months (Medium Risk)"
25,10,4,Grocery,4,Single,5,0,1.0,262.34,0,Retained,">12 Months (Low Risk)"
2,19,4,"Laptop & Accessory",4,Married,5,1,3.0,140.25,0,Retained,"0-3 Months (High Risk)"
30,6,3,Fashion,2,Divorced,4,1,,219.04000000000002,0,Retained,">12 Months (Low Risk)"
18,10,5,Fashion,3,Married,5,0,3.0,197.56,0,Retained,">12 Months (Low Risk)"
19,32,4,"Laptop & Accessory",4,Single,9,0,2.0,179.91,0,Retained,">12 Months (Low Risk)"
8,23,3,"Laptop & Accessory",5,Married,4,1,7.0,189.66,0,Retained,"4-12 Months (Medium Risk)"
0,30,1,"Mobile Phone",5,Single,2,0,0.0,110.91,1,Churned,"0-3 Months (High Risk)"
8,32,3,Fashion,1,Single,2,1,7.0,188.37,0,Retained,"4-12 Months (Medium Risk)"
4,15,2,Fashion,5,Married,2,1,8.0,239.16000000000003,0,Retained,"4-12 Months (Medium Risk)"
0,35,4,"Laptop & Accessory",3,Single,2,0,8.0,145.08,1,Churned,"0-3 Months (High Risk)"
2,23,4,Fashion,5,Single,2,0,9.0,179.88,0,Retained,"0-3 Months (High Risk)"
4,8,5,Mobile,1,Married,5,1,0.0,127.78,1,Churned,"4-12 Months (Medium Risk)"
19,21,3,Others,4,Married,6,0,3.0,290.81,0,Retained,">12 Months (Low Risk)"
14,7,6,"Laptop & Accessory",1,Married,4,1,3.0,199.57,0,Retained,">12 Months (Low Risk)"
15,9,4,Grocery,5,Divorced,9,0,9.0,290.95,0,Retained,">12 Months (Low Risk)"
5,11,3,"Laptop & Accessory",4,Married,2,0,3.0,165.24,0,Retained,"4-12 Months (Medium Risk)"
1,14,2,"Mobile Phone",5,Single,2,0,8.0,160.78,0,Retained,"0-3 Months (High Risk)"
21,11,4,"Laptop & Accessory",3,Single,5,0,1.0,154.76,0,Retained,">12 Months (Low Risk)"
1,7,5,"Mobile Phone",3,Married,8,1,3.0,153,1,Churned,"0-3 Months (High Risk)"
24,12,4,Mobile,3,Single,1,0,7.0,128.38,0,Retained,">12 Months (Low Risk)"
14,16,3,"Laptop & Accessory",1,Single,8,0,10.0,162.3,0,Retained,">12 Months (Low Risk)"
0,10,3,"Laptop & Accessory",3,Divorced,2,1,3.0,141.62,0,Retained,"0-3 Months (High Risk)"
21,10,4,Grocery,3,Married,11,1,14.0,262.7,0,Retained,">12 Months (Low Risk)"
29,9,5,"Mobile Phone",1,Married,10,0,5.0,151.62,0,Retained,">12 Months (Low Risk)"
7,14,3,"Laptop & Accessory",5,Married,4,0,0.0,151.21,0,Retained,"4-12 Months (Medium Risk)"
14,15,4,"Laptop & Accessory",5,Married,4,1,1.0,190.16,0,Retained,">12 Months (Low Risk)"
5,9,6,"Mobile Phone",1,Married,6,1,1.0,152.78,1,Churned,"4-12 Months (Medium Risk)"
5,14,5,"Mobile Phone",3,Married,5,0,3.0,148.29,0,Retained,"4-12 Months (Medium Risk)"
2,15,5,"Mobile Phone",2,Married,3,0,5.0,174.36,0,Retained,"0-3 Months (High Risk)"
3,7,6,"Mobile Phone",2,Married,3,0,9.0,152.2,0,Retained,"0-3 Months (High Risk)"
0,12,3,"Mobile Phone",1,Married,2,1,2.0,56,0,Retained,"0-3 Months (High Risk)"
11,20,3,"Laptop & Accessory",4,Married,1,0,7.0,199.24,0,Retained,"4-12 Months (Medium Risk)"
6,6,1,Grocery,3,Married,5,0,5.0,261.84,0,Retained,"4-12 Months (Medium Risk)"
2,15,5,"Mobile Phone",1,Married,3,0,5.0,174.36,0,Retained,"0-3 Months (High Risk)"
1,9,4,"Mobile Phone",4,Married,6,0,3.0,146.87,0,Retained,"0-3 Months (High Risk)"
14,15,3,Fashion,3,Married,4,1,7.0,181.89,0,Retained,">12 Months (Low Risk)"
1,10,4,"Mobile Phone",1,Single,3,1,1.0,140.69,1,Churned,"0-3 Months (High Risk)"
3,11,4,"Mobile Phone",2,Married,10,0,3.0,137.61,0,Retained,"0-3 Months (High Risk)"
26,9,5,"Mobile Phone",2,Single,9,0,3.0,157.12,0,Retained,">12 Months (Low Risk)"
1,20,5,"Laptop & Accessory",5,Married,7,1,3.0,186.34,1,Churned,"0-3 Months (High Risk)"
5,16,3,"Laptop & Accessory",1,Single,9,0,0.0,146.48,0,Retained,"4-12 Months (Medium Risk)"
13,14,3,"Laptop & Accessory",5,Married,3,1,0.0,165.16,0,Retained,">12 Months (Low Risk)"
4,8,3,"Laptop & Accessory",2,Single,5,1,5.0,165.82,0,Retained,"4-12 Months (Medium Risk)"
1,32,5,"Mobile Phone",4,Single,6,1,3.0,148.13,1,Churned,"0-3 Months (High Risk)"
30,11,4,Others,5,Married,6,0,3.0,324.43,0,Retained,">12 Months (Low Risk)"
0,26,5,"Laptop & Accessory",3,Divorced,4,1,2.0,145.59,1,Churned,"0-3 Months (High Risk)"
17,11,5,Fashion,2,Single,5,0,,227.31,0,Retained,">12 Months (Low Risk)"
26,15,4,"Mobile Phone",5,Divorced,11,0,5.0,154.5,0,Retained,">12 Months (Low Risk)"
5,25,1,Mobile,3,Married,7,1,2.0,127.59,1,Churned,"4-12 Months (Medium Risk)"
19,6,3,Fashion,5,Married,2,0,7.0,204.53,0,Retained,">12 Months (Low Risk)"
1,20,5,"Mobile Phone",5,Married,6,1,1.0,148.35,1,Churned,"0-3 Months (High Risk)"
9,13,3,"Mobile Phone",2,Single,3,0,1.0,146.78,0,Retained,"4-12 Months (Medium Risk)"
1,10,4,"Mobile Phone",3,Single,3,0,8.0,165.84,1,Churned,"0-3 Months (High Risk)"
8,11,4,"Laptop & Accessory",3,Divorced,11,0,3.0,190.38,0,Retained,"4-12 Months (Medium Risk)"
26,7,4,Grocery,3,Married,5,1,,229.64999999999998,0,Retained,">12 Months (Low Risk)"
2,16,4,"Mobile Phone",3,Married,7,0,3.0,148.77,0,Retained,"0-3 Months (High Risk)"
4,14,4,"Laptop & Accessory",3,Married,3,0,10.0,159.91,0,Retained,"4-12 Months (Medium Risk)"
16,30,4,Grocery,2,Single,4,0,1.0,284.92,0,Retained,">12 Months (Low Risk)"
1,12,4,"Mobile Phone",4,Single,3,1,3.0,149.78,0,Retained,"0-3 Months (High Risk)"
9,23,4,Fashion,3,Married,6,1,1.0,201.32,0,Retained,"4-12 Months (Medium Risk)"
2,26,3,"Mobile Phone",1,Married,2,0,10.0,138.12,0,Retained,"0-3 Months (High Risk)"
10,14,3,"Laptop & Accessory",4,Married,3,0,7.0,140.71,0,Retained,"4-12 Months (Medium Risk)"
1,14,5,"Laptop & Accessory",3,Divorced,4,0,1.0,186.32,0,Retained,"0-3 Months (High Risk)"
21,9,2,Grocery,4,Married,8,0,3.0,284.72,0,Retained,">12 Months (Low Risk)"
26,13,4,Fashion,1,Married,8,1,,209.33999999999997,0,Retained,">12 Months (Low Risk)"
11,16,3,"Laptop & Accessory",3,Married,4,0,2.0,160.77,0,Retained,"4-12 Months (Medium Risk)"
31,10,5,"Laptop & Accessory",1,Single,7,0,6.0,176.71,0,Retained,">12 Months (Low Risk)"
14,12,5,Fashion,5,Divorced,7,1,,229.75,0,Retained,">12 Months (Low Risk)"
4,11,3,"Laptop & Accessory",5,Single,1,0,7.0,199.36,0,Retained,"4-12 Months (Medium Risk)"
17,34,3,Grocery,5,Divorced,4,0,17.0,263.28,0,Retained,">12 Months (Low Risk)"
7,10,3,"Laptop & Accessory",3,Married,10,0,2.0,165.38,0,Retained,"4-12 Months (Medium Risk)"
20,8,3,Others,4,Single,8,1,8.0,292.46,1,Churned,">12 Months (Low Risk)"
8,29,5,"Laptop & Accessory",1,Married,3,1,12.0,182.47,0,Retained,"4-12 Months (Medium Risk)"
1,16,6,"Mobile Phone",4,Single,3,0,3.0,152.6,1,Churned,"0-3 Months (High Risk)"
17,31,4,Fashion,5,Single,8,1,,229.48,1,Churned,">12 Months (Low Risk)"
27,13,4,"Laptop & Accessory",3,Divorced,4,1,6.0,148.06,0,Retained,">12 Months (Low Risk)"
16,7,5,"Laptop & Accessory",2,Divorced,11,1,3.0,185.62,0,Retained,">12 Months (Low Risk)"
16,9,4,"Laptop & Accessory",1,Married,3,0,3.0,165.89,0,Retained,">12 Months (Low Risk)"
10,33,4,"Laptop & Accessory",3,Married,8,0,3.0,178.47,0,Retained,"4-12 Months (Medium Risk)"
10,30,2,"Laptop & Accessory",1,Married,6,0,4.0,150.71,0,Retained,"4-12 Months (Medium Risk)"
3,11,3,Mobile,5,Married,6,0,30.0,132.04,0,Retained,"0-3 Months (High Risk)"
0,24,1,"Laptop & Accessory",3,Divorced,3,0,2.0,162.32,0,Retained,"0-3 Months (High Risk)"
12,16,3,"Laptop & Accessory",5,Married,3,0,7.0,153.77,0,Retained,"4-12 Months (Medium Risk)"
6,17,4,"Laptop & Accessory",1,Single,10,0,1.0,171.48,0,Retained,"4-12 Months (Medium Risk)"
11,18,4,"Laptop & Accessory",5,Married,3,0,2.0,162.88,0,Retained,"4-12 Months (Medium Risk)"
6,7,5,"Mobile Phone",4,Married,2,0,3.0,147.69,0,Retained,"4-12 Months (Medium Risk)"
4,6,3,"Laptop & Accessory",5,Married,2,0,3.0,141.48,0,Retained,"4-12 Months (Medium Risk)"
17,9,4,"Mobile Phone",1,Single,2,0,9.0,160.39,0,Retained,">12 Months (Low Risk)"
7,21,3,Fashion,2,Divorced,2,0,5.0,179.78,1,Churned,"4-12 Months (Medium Risk)"
8,15,4,"Laptop & Accessory",5,Married,7,0,3.0,190,0,Retained,"4-12 Months (Medium Risk)"
15,9,5,"Laptop & Accessory",3,Single,4,1,8.0,193.11,0,Retained,">12 Months (Low Risk)"
31,9,5,Grocery,2,Single,5,1,4.0,262.26,0,Retained,">12 Months (Low Risk)"
16,14,3,"Laptop & Accessory",4,Married,5,0,0.0,147.65,0,Retained,">12 Months (Low Risk)"
18,26,3,"Laptop & Accessory",3,Single,9,0,1.0,148.5,0,Retained,">12 Months (Low Risk)"
3,12,4,"Laptop & Accessory",1,Married,5,0,1.0,145.86,1,Churned,"0-3 Months (High Risk)"
11,7,5,"Mobile Phone",5,Divorced,4,0,3.0,164.2,0,Retained,"4-12 Months (Medium Risk)"
0,5,4,Mobile,3,Single,2,0,2.0,130.33,0,Retained,"0-3 Months (High Risk)"
20,9,4,Fashion,1,Married,5,0,,210.78,0,Retained,">12 Months (Low Risk)"
11,11,4,"Mobile Phone",3,Divorced,9,1,4.0,154.96,0,Retained,"4-12 Months (Medium Risk)"
0,22,3,Fashion,5,Single,3,1,0.0,185.64,1,Churned,"0-3 Months (High Risk)"
10,13,2,"Mobile Phone",1,Married,5,0,1.0,155.38,0,Retained,"4-12 Months (Medium Risk)"
1,22,4,"Mobile Phone",3,Married,3,0,3.0,151.1,1,Churned,"0-3 Months (High Risk)"
9,24,4,"Laptop & Accessory",5,Married,5,1,,214.66,0,Retained,"4-12 Months (Medium Risk)"
1,6,4,"Laptop & Accessory",1,Married,2,1,7.0,168.34,0,Retained,"0-3 Months (High Risk)"
9,9,4,"Laptop & Accessory",1,Married,4,0,8.0,182.62,0,Retained,"4-12 Months (Medium Risk)"
2,10,4,"Mobile Phone",4,Married,3,0,1.0,153.56,0,Retained,"0-3 Months (High Risk)"
30,15,4,"Mobile Phone",5,Married,6,1,3.0,167.57,0,Retained,">12 Months (Low Risk)"
12,23,4,"Laptop & Accessory",4,Single,4,0,3.0,166.98,0,Retained,"4-12 Months (Medium Risk)"
8,22,3,Fashion,3,Married,5,1,0.0,176.32,0,Retained,"4-12 Months (Medium Risk)"
22,26,3,"Laptop & Accessory",5,Married,2,0,11.0,165.67,0,Retained,">12 Months (Low Risk)"
8,33,3,"Laptop & Accessory",3,Married,3,0,7.0,168.83,0,Retained,"4-12 Months (Medium Risk)"
20,32,3,Others,3,Married,4,0,0.0,296.58,0,Retained,">12 Months (Low Risk)"
20,20,3,"Laptop & Accessory",4,Married,9,0,7.0,154.67,0,Retained,">12 Months (Low Risk)"
0,10,3,Mobile,2,Single,2,1,2.0,128.75,0,Retained,"0-3 Months (High Risk)"
28,24,4,Fashion,3,Married,10,0,9.0,232.39,0,Retained,">12 Months (Low Risk)"
22,7,2,Grocery,1,Single,4,0,2.0,293.85,0,Retained,">12 Months (Low Risk)"
16,21,4,Grocery,3,Married,2,0,11.0,276.03,0,Retained,">12 Months (Low Risk)"
7,9,5,"Laptop & Accessory",1,Single,6,0,2.0,160.29,0,Retained,"4-12 Months (Medium Risk)"
1,28,4,"Mobile Phone",3,Married,3,0,1.0,148.77,1,Churned,"0-3 Months (High Risk)"
4,8,4,"Laptop & Accessory",5,Divorced,4,0,0.0,164.1,0,Retained,"4-12 Months (Medium Risk)"
25,13,5,"Mobile Phone",3,Single,2,0,8.0,153.38,0,Retained,">12 Months (Low Risk)"
14,33,4,"Laptop & Accessory",5,Married,3,0,6.0,208.96,0,Retained,">12 Months (Low Risk)"
4,9,4,"Mobile Phone",4,Divorced,3,0,1.0,149.76,0,Retained,"4-12 Months (Medium Risk)"
18,15,4,"Laptop & Accessory",3,Divorced,2,0,12.0,155.93,0,Retained,">12 Months (Low Risk)"
10,10,5,Fashion,1,Married,6,0,,221.99,0,Retained,"4-12 Months (Medium Risk)"
18,27,4,"Mobile Phone",4,Single,3,0,4.0,159.2,0,Retained,">12 Months (Low Risk)"
11,17,4,"Laptop & Accessory",4,Single,4,1,2.0,166.97,0,Retained,"4-12 Months (Medium Risk)"
8,18,5,"Laptop & Accessory",4,Married,6,0,9.0,169.9,0,Retained,"4-12 Months (Medium Risk)"
4,27,4,"Laptop & Accessory",5,Married,2,0,,224.57,0,Retained,"4-12 Months (Medium Risk)"
0,11,4,Fashion,2,Married,2,1,,228.07999999999998,0,Retained,"0-3 Months (High Risk)"
18,35,4,Grocery,5,Married,5,0,18.0,288.28,0,Retained,">12 Months (Low Risk)"
13,11,4,"Laptop & Accessory",3,Single,2,0,9.0,175.42,0,Retained,">12 Months (Low Risk)"
31,22,4,Grocery,3,Married,4,1,3.0,282.87,0,Retained,">12 Months (Low Risk)"
0,17,1,"Laptop & Accessory",3,Married,9,0,2.0,147.07,1,Churned,"0-3 Months (High Risk)"
1,25,2,"Mobile Phone",5,Married,2,0,1.0,154.56,1,Churned,"0-3 Months (High Risk)"
1,14,4,"Mobile Phone",4,Single,3,1,1.0,149.72,1,Churned,"0-3 Months (High Risk)"
20,22,4,Others,4,Divorced,7,0,4.0,315.81,0,Retained,">12 Months (Low Risk)"
4,11,3,"Mobile Phone",1,Married,1,1,3.0,148.21,0,Retained,"4-12 Months (Medium Risk)"
1,7,3,"Mobile Phone",5,Married,2,0,2.0,135.91,0,Retained,"0-3 Months (High Risk)"
8,22,4,"Laptop & Accessory",4,Married,1,1,2.0,147.88,0,Retained,"4-12 Months (Medium Risk)"
13,15,3,"Laptop & Accessory",3,Married,4,0,7.0,139.75,0,Retained,">12 Months (Low Risk)"
1,16,4,"Mobile Phone",4,Single,3,0,4.0,147.79,0,Retained,"0-3 Months (High Risk)"
25,17,3,"Laptop & Accessory",3,Divorced,9,0,4.0,131.49,0,Retained,">12 Months (Low Risk)"
19,11,6,Fashion,3,Married,6,0,,222.56,0,Retained,">12 Months (Low Risk)"
24,17,5,Fashion,1,Single,8,0,,229.96,0,Retained,">12 Months (Low Risk)"
0,22,5,"Mobile Phone",5,Single,2,1,7.0,139.19,1,Churned,"0-3 Months (High Risk)"
15,35,5,Grocery,4,Married,2,0,11.0,260.7,0,Retained,">12 Months (Low Risk)"
7,16,3,"Laptop & Accessory",3,Married,2,1,7.0,140.01,0,Retained,"4-12 Months (Medium Risk)"
19,6,3,Fashion,5,Married,2,0,7.0,204.53,0,Retained,">12 Months (Low Risk)"
11,6,4,Mobile,5,Single,5,0,0.0,128.58,0,Retained,"4-12 Months (Medium Risk)"
24,7,4,"Laptop & Accessory",3,Married,2,0,14.0,188.47,0,Retained,">12 Months (Low Risk)"
29,21,2,Others,4,Single,10,0,16.0,312.22,0,Retained,">12 Months (Low Risk)"
15,12,3,Fashion,5,Married,10,0,7.0,233.48000000000002,0,Retained,">12 Months (Low Risk)"
15,11,4,Fashion,3,Married,2,1,,229.47,0,Retained,">12 Months (Low Risk)"
4,14,3,"Laptop & Accessory",1,Single,2,0,8.0,144.24,0,Retained,"4-12 Months (Medium Risk)"
0,8,4,Mobile,1,Single,8,0,0.0,127.85,1,Churned,"0-3 Months (High Risk)"
7,6,1,Mobile,1,Single,3,0,3.0,132.8,0,Retained,"4-12 Months (Medium Risk)"
2,11,4,"Laptop & Accessory",3,Married,3,0,5.0,167.21,0,Retained,"0-3 Months (High Risk)"
9,34,5,"Mobile Phone",5,Single,3,0,2.0,150.59,0,Retained,"4-12 Months (Medium Risk)"
4,8,3,Mobile,3,Married,1,0,2.0,130.67,0,Retained,"4-12 Months (Medium Risk)"
10,18,5,"Laptop & Accessory",1,Married,6,0,1.0,191.52,0,Retained,"4-12 Months (Medium Risk)"
7,32,4,"Laptop & Accessory",3,Divorced,3,0,2.0,170.39,0,Retained,"4-12 Months (Medium Risk)"
1,7,6,"Mobile Phone",4,Single,9,1,8.0,147.16,1,Churned,"0-3 Months (High Risk)"
0,9,4,Fashion,1,Married,2,1,7.0,203.25,1,Churned,"0-3 Months (High Risk)"
19,11,4,"Laptop & Accessory",4,Divorced,3,0,9.0,169.47,0,Retained,">12 Months (Low Risk)"
16,32,3,Grocery,1,Married,2,1,12.0,269.59,0,Retained,">12 Months (Low Risk)"
4,9,5,"Mobile Phone",5,Single,2,0,8.0,174.68,0,Retained,"4-12 Months (Medium Risk)"
16,36,4,"Laptop & Accessory",3,Married,4,0,3.0,170.56,0,Retained,">12 Months (Low Risk)"
0,12,3,Mobile,5,Single,3,0,3.0,129.6,1,Churned,"0-3 Months (High Risk)"
31,35,5,Fashion,5,Married,6,0,,227.66,0,Retained,">12 Months (Low Risk)"
30,13,1,"Laptop & Accessory",1,Married,1,1,9.0,152.2,0,Retained,">12 Months (Low Risk)"
15,7,4,"Laptop & Accessory",5,Married,2,0,8.0,166.03,0,Retained,">12 Months (Low Risk)"
6,9,4,"Laptop & Accessory",3,Single,6,1,8.0,174.98,0,Retained,"4-12 Months (Medium Risk)"
6,15,4,Fashion,2,Single,3,0,,214.98,0,Retained,"4-12 Months (Medium Risk)"
30,13,3,Others,5,Divorced,6,0,10.0,295.66,0,Retained,">12 Months (Low Risk)"
6,13,3,Fashion,3,Divorced,1,0,,216.91000000000003,0,Retained,"4-12 Months (Medium Risk)"
5,14,5,"Mobile Phone",3,Divorced,5,0,3.0,148.29,0,Retained,"4-12 Months (Medium Risk)"
1,27,3,Mobile,2,Divorced,2,0,2.0,127.13,0,Retained,"0-3 Months (High Risk)"
7,9,4,"Laptop & Accessory",1,Married,3,0,5.0,180.05,0,Retained,"4-12 Months (Medium Risk)"
1,13,4,"Mobile Phone",1,Married,3,1,3.0,81,0,Retained,"0-3 Months (High Risk)"
2,23,3,"Laptop & Accessory",5,Single,2,0,8.0,181.61,0,Retained,"0-3 Months (High Risk)"
16,36,4,"Laptop & Accessory",3,Married,4,0,3.0,170.56,0,Retained,">12 Months (Low Risk)"
16,19,4,"Mobile Phone",4,Married,10,0,5.0,152.66,0,Retained,">12 Months (Low Risk)"
19,9,1,Grocery,5,Married,3,0,8.0,232.25,0,Retained,">12 Months (Low Risk)"
